	document	label
3	비용이 비쌈	0
260	모름	0
187	인터넷과 연결하면 매우 저렴함	1
135	다른 회사와의 특별한 혜택 차이 없음 가격이 비쌈	0
128	요금제가 저렴하고 AS가 좋음	1
102	컨텐츠는 수도 없는데 매력있는 컨텐츠는 제한적인다.	0
174	비쌈	0
212	다양한 채널과 사용자의 편의에 맞춘 부가 프로그램들이 있음	1
169	안정적이고 서비스 응대가 뛰어나서 만족스럽다	1
67	공중파가 나오지 않아서 생각보다 볼거리가 그리 많지않다 특히나 좋아하는 프로그램 하나만 보고 선택할경우 후회할 가능성이 높아서	0
259	타 브랜드와 특별한 차별화가 없는듯	0
217	생각보다 영화가 없어서	0
178	다양한 컨텐츠 보유	0
142	영화가 다양하지 않고 자막선택의 제약이 많다. 무자막으로 볼 수 있는 컨텐츠가 너무 적다.	0
109	키즈 관련 컨텐츠가 유용	1
64	적당하다	0
147	비쌈	0
15	생각보다 없는게 ㅁ낳다	0
223	컨텐츠가 많이 부족함 특히 케이블 방송관련 자료가 전무	0
36	콘텐츠의 다양성	1
185	영화의 종류가 다양하다	1
190	더 다양한 채널이 많았으면 좋겠어서	0
221	컨텐츠가 더 다양했으면 좋겠다.	0
159	볼만하다	0
177	굳이 티비로 보면 되니까	0
73	처음보다 켄텐츠의 질이 떨어짐	0
113	"""다양한 콘텐츠를 제공하고 있고, 서비스 및 품질이 좋다"""	1
111	사용하기 편리하고 AS가 확실함	1
183	신작영화나 원하는 영화 부족	0
233	없음	0
26	각자 알아서 선택할 것이기 때문이다	0
8	가격이 비싸다	0
54	아이를 키우는 가정에서는 다양한 프로그램을 제공하는 딱이다	1
269	불편없이 잘 시청하고있음	1
216	보다 다양한 컨텐츠 제공 요청	0
225	경쟁업체보다 가격이 싸지만 컨텐츠는 다양하지 않는거 같다.	0
179	"""서버 불안정, 콘텐츠 수량 적음"""	0
196	요금이 비싸서	0
165	편함	1
56	아직 최신영화가많이 보유하지않고 컨텐츠부족..	0
118	개인취향이기때문	0
96	"""속도, 품질"""	1
210	공장형 콘텐츠	0
21	"""다양하고, 요금할인 받으면 적당한 가격에 이용할수있어서"""	1
205	다양한 영화나 예능을 볼 수 있고 어른들이 보기에도 편하게 구성되어 있어서 좋음	1
55	없음	0
99	사용도 편하고 문제가 생긴적이 없다	1
228	볼만한 방송이 많고 업데이트가 자주쨈?	1
119	안정적이고 문제생기면 빨리 처리해준다 자주 끊기고 화나서 바꿈	1
246	특별한 점이 없어서	0
180	안정적이다	1
87	저렴한가격으로 다양하고 내가원하는 취향에 맞게 잘추천해준다	1
88	없음	0
127	추가로 구매하는 등 귀찮은 점이 많아서	0
2	개인별 선호 컨텐츠가 차이가 있어서	0
206	신규 한국영화 비율이 낮음	0
82	볼 게 없음	0
157	컨텐츠가 별로 없음	0
186	실시간 채널 이용 중 정규방송이 끊겨서	0
149	vod종류가 다른브랜드 보다 많은 것 같고 이용하기 편함	1
152	시간을 너무 많이 뺐긴다	0
97	분류가 잘 되지 않음	0
237	스마트 TV가 아니면 집에서는 제대로 즐길 수 가 없어서 그렇습니다.	0
189	요금이 다른데에 싸고 기존고객들에게 혜택이 많음	1
262	지극히 개인적 의견으로는 딱히 볼만한 매력이 없다.	0
95	다른것들을 사용한적이 없기 때문에 평균으로 줬다.	0
100	컨텐츠 구성	0
47	그저그렇다	0
240	제공 컨텐츠가 많음	1
46	왓챠플레이가 더 좋아보임	0
126	편리해서	1
98	"""채널이 다양하지 않고 끊김이 심하고, 광고가 너무 많다."""	0
271	남에게 추천하는 걸 좋아하지않음	0
66	타사에 비해 콘텐츠 적음	0
154	화질	0
28	다른 경로로 볼 수 있는게 많아서	0
171	다른 서비스에 비해 전반적으로 부족함	0
181	종편 컨텐츠가 빠져있음. 화질이 나쁨	0
90	편리해서	1
168	유료라 보통이다	0
229	특별히 추천할 정도는 아니고. 그렇다고 나쁘다는건 아님. 각자 원하는 컨텐츠가 있는 서비스 이용하면 된다고 생각함	0
106	"""유튜브, 넷플릭스 등 쉽게 연결이 되어서"""	1
192	가격대비가 부족함	0
72	좋다	1
33	넷플릭스	1
136	아직 1개월 미만이라 잘 모르겠다	0
250	최신 영화등이 다양하지 않음	0
138	생각보다 많은 프로가없다	0
81	다양한 채널과 특별히 불편함이 없어서	1
137	다양성	0
241	채널이 다양하고 요금제가 적당하고 좋다.	1
267	본인들이 결정할일	0
71	비다양	0
50	추가 결제해야 하는 콘텐츠가 너무 많아서	0
1	"""프로그램의 다양성, 프로그램이 자주 업데이트 되는 점"""	1
272	보기 편하다	1
77	사용이 편리해서	1
219	통신사 결합을 통해 더욱 저렴하게 이용할 수 있어서	1
123	야구중계시 많은 끊김	0
125	큰 의미없음	0
257	넷플릭스에 비해 없는 콘텐츠가 많은 것 같다	0
199	특별히 추천하고 싶은 마음은 없어서	0
226	넘 비싸서	0
108	키즈 프로그램이 타사에 비해 다양한듯 합니다	1
139	리모컨 조작이 간편하고 최신 업로드가 많으며 이용에 불편한점이 거의 없으므로 추천 의향이 있다.	1
133	콘텐츠가 한정적이라서	0
218	가격이비쌈	0
213	"""유튜브, 넷플릭스와 연동 가능하고 나오는 채널도 다양한 편이라 맘에 들어서"""	1
27	tvn 때문에 이용하고 있긴한데 그외엔 컨텐츠가 다양하지 않아 요금제가 비싸다고 생각합니다	0
5	지원안하는채널이많음	0
270	보고 싶은 미드때문에 이요하는데 없는 작품이 많다	0
44	업데이트 속도 만족	1
49	유료요금	0
166	요금이 비쌈	0
32	유료 품목이 많음	0
103	넷플릭스 지원 및 사용자 어플리케이션 지원이 원활하다	1
68	없음	0
239	다양한 컨텐츠라고 느껴지진 않아요	0
129	연령별 채널 특화	1
89	처음에는 볼게 많았는데 막상 며칠지나니 딱히 볼게 없음 독점작이 많은것도 아니라서 아쉬움	0
131	사용하기가 편리하고 노래방 등의 다양한 기능도 많아서	1
273	다양한 서비스	1
150	상품이용에 만족하고있다	1
151	채널이 편하고 재미있는 드라마가 많다	1
84	다른 브랜드와 별 차이가 없어서	0
214	그냐	1
208	"""jtbc, tvN을 시청할 수 없다"""	0
252	메뉴구성 이동이 불편하고 무료영화 부족	0
